date,mei,production,area_harvested
1961-12-31,-0.05558333333333334,12084000,6857000
1962-12-31,-0.615,13004000,7283000
1963-12-31,0.3546666666666667,11595000,6731000
1964-12-31,-0.6031666666666667,12306000,6980000
1965-12-31,0.8323333333333333,12975000,7327000
1966-12-31,0.62675,13650000,7691000
1967-12-31,-0.6229166666666667,13222000,7516000
1968-12-31,-0.2024166666666667,17162000,8020770
1969-12-31,0.9374166666666666,18020200,8013620
1970-12-31,-0.4524166666666667,19331000,8135080
1971-12-31,-1.4267500000000002,20190000,8324320
1972-12-31,1.1181666666666665,19393600,7897640
1973-12-31,-0.31216666666666676,21489500,8403600
1974-12-31,-1.29025,22473008,8508600
1975-12-31,-1.38225,22339200,8495100
1976-12-31,-0.12866666666666662,23300944,8368760
1977-12-31,0.7047499999999999,23347136,8359570
1978-12-31,0.32575000000000004,25771600,8929170
1979-12-31,0.255,26282656,8803564
1980-12-31,0.3066666666666667,29651904,9005065
1981-12-31,-0.1675,32774176,9381839
1982-12-31,0.9658333333333333,33583696,8988455
1983-12-31,1.219166666666667,35303008,9162469
1984-12-31,-0.32,38136448,9763580
1985-12-31,-0.43250000000000005,39032944,9902293
1986-12-31,0.29750000000000004,39726768,9988453
1987-12-31,1.3733333333333337,40078192,9922594
1988-12-31,-0.8700000000000001,41676176,10138155
1989-12-31,-0.8224999999999999,44725584,10531207
1990-12-31,0.18166666666666664,45178752,10502357
1991-12-31,0.6141666666666666,44688240,10281519
1992-12-31,1.16,48240008,11103317
1993-12-31,0.8816666666666665,48181088,11012780
1994-12-31,0.5025000000000001,46641500,10733800
1995-12-31,-0.18083333333333332,49744140,11438760
1996-12-31,-0.6149999999999999,51101504,11569729
1997-12-31,1.1675,49377056,11140594
1998-12-31,0.32333333333333325,49236700,11730200
1999-12-31,-1.2366666666666666,50866388,11963204
2000-12-31,-0.8508333333333334,51898000,11793000
2001-12-31,-0.39000000000000007,50460800,11500000
2002-12-31,0.3491666666666667,51489696,11521166
2003-12-31,0.16999999999999996,52137600,11477357
2004-12-31,0.145,54088468,11922974
2005-12-31,-0.02083333333333337,54151096,11839060
2006-12-31,0.014999999999999994,54454936,11786430
2007-12-31,-0.5966666666666666,54591000,11748000
2008-12-31,-1.0916666666666668,57661000,11728000
2009-12-31,-0.03499999999999994,59014000,11778000
2010-12-31,-0.8941666666666667,59283000,11797000
2011-12-31,-1.34,58259000,11653000
2012-12-31,-0.32,59705000,11591000
2013-12-31,-0.4116666666666666,60095000,11631000
2014-12-31,-0.02416666666666664,59059000,11473000
2015-12-31,1.2766666666666666,61031000,11389000
2016-12-31,0.45250000000000007,59393000,11293000
2017-12-31,-0.4991666666666667,59429000,11471000
2018-12-31,-0.28833333333333333,59200534,11377934
2019-12-31,0.3441666666666667,54604033,10677887
